id,run,condition,aversiveness,control,helplessness,stress
36,1,bas,NA,NA,NA,0
36,2,bas,NA,NA,NA,0
36,3,bas,NA,NA,NA,0
36,4,bas,NA,NA,NA,0
37,1,con,90,55,65,75
37,2,con,95,50,35,80
37,3,con,95,85,15,55
37,1,noc,95,30,90,95
37,2,noc,95,5,95,80
37,3,noc,95,45,85,70
37,1,bas,NA,NA,NA,40
37,2,bas,NA,NA,NA,15
37,3,bas,NA,NA,NA,15
38,1,con,50,55,70,40
38,2,con,50,35,70,40
38,3,con,65,35,65,40
38,4,con,65,60,40,50
38,1,noc,55,55,70,40
38,2,noc,55,35,65,40
38,3,noc,60,35,65,40
38,4,noc,70,20,80,50
38,1,bas,NA,NA,NA,40
38,2,bas,NA,NA,NA,40
38,3,bas,NA,NA,NA,40
38,4,bas,NA,NA,NA,50
39,1,con,50,45,40,50
39,2,con,50,55,40,35
39,3,con,50,65,30,25
39,4,con,50,65,30,25
39,1,noc,50,45,50,45
39,2,noc,55,40,45,40
39,3,noc,50,45,40,35
39,4,noc,50,45,55,35
39,1,bas,NA,NA,NA,35
39,2,bas,NA,NA,NA,30
39,3,bas,NA,NA,NA,20
39,4,bas,NA,NA,NA,15
40,1,con,70,85,50,55
40,2,con,75,80,40,35
40,3,con,80,85,25,30
40,4,con,60,75,30,25
40,1,noc,70,55,70,60
40,2,noc,70,40,60,55
40,3,noc,80,45,30,45
40,4,noc,65,75,30,25
40,1,bas,NA,NA,NA,0
40,2,bas,NA,NA,NA,0
40,3,bas,NA,NA,NA,0
40,4,bas,NA,NA,NA,0
41,1,con,35,15,10,15
41,2,con,30,75,50,55
41,3,con,40,80,20,10
41,1,noc,35,10,30,15
41,2,noc,30,0,60,35
41,3,noc,40,45,70,60
41,1,bas,NA,NA,NA,15
41,2,bas,NA,NA,NA,20
41,3,bas,NA,NA,NA,20
42,1,con,60,60,50,60
42,2,con,50,45,45,55
42,3,con,60,50,40,45
42,4,con,65,50,55,45
42,1,noc,60,65,50,55
42,2,noc,55,40,55,55
42,3,noc,60,60,55,55
42,4,noc,60,40,45,45
42,1,bas,NA,NA,NA,50
42,2,bas,NA,NA,NA,50
42,3,bas,NA,NA,NA,40
42,4,bas,NA,NA,NA,35
43,1,con,80,75,20,50
43,2,con,60,60,75,50
43,3,con,65,50,60,60
43,4,con,60,50,50,70
43,1,noc,80,30,70,60
