id,run,version,trial,condition,Stress_duration,total_con_stress_dur,total_noc_stress_dur,rt,Target,First_correct,Feedback,Button_pressed,initial_aversiveness
2,3,5,23,con,6.3853691821,75.05,75.34,885.2547749,3,TRUE,Positive,[3],0
2,3,5,24,con,6.3670126947,75.05,75.34,866.9726711,2,TRUE,Positive,[2],0
2,3,5,25,noc,7.7012732415,75.05,75.34,701.191684,2,FALSE,Negative,[2],0
2,3,5,26,con,6.5849148007,75.05,75.34,834.8268245,2,TRUE,Positive,[2],0
2,3,5,27,noc,4.7501900177,75.05,75.34,750.1515045,1,TRUE,Positive,[1],0
2,3,5,28,con,7.3832989042,75.05,75.34,633.2607686,2,TRUE,Positive,[2],0
2,3,5,29,noc,4.917261766,75.05,75.34,917.2005979,3,TRUE,Positive,[3],0
2,3,5,30,bas,4.700161265,75.05,75.34,700.1242619,1,TRUE,Positive,[1],0
2,4,5,1,bas,4.9850466521,76.92,75.3,984.9658497,1,TRUE,Positive,[1],0
2,4,5,2,noc,4.9645345539,76.92,75.3,964.5149196,3,TRUE,Positive,[3],0
2,4,5,3,con,6.2350990414,76.92,75.3,734.9993601,2,TRUE,Positive,[2],0
2,4,5,4,noc,7.7173619759,76.92,75.3,717.2838168,3,FALSE,Negative,[3],0
2,4,5,5,con,5.2642407578,76.92,75.3,764.2188582,1,TRUE,Positive,[1],0
2,4,5,6,con,5.6835763885,76.92,75.3,683.4865243,1,TRUE,Positive,[1],0
2,4,5,7,noc,4.6830651436,76.92,75.3,683.0281408,2,TRUE,Positive,[2],0
2,4,5,8,noc,7.8006820625,76.92,75.3,800.6122101,3,FALSE,Negative,[3],0
2,4,5,9,noc,4.8668006829,76.92,75.3,866.7655678,2,TRUE,Positive,[2],0
2,4,5,10,con,6.3684407067,76.92,75.3,868.3308305,3,TRUE,Positive,[3],0
2,4,5,11,con,9.5010460888,76.92,75.3,NA,3,FALSE,Negative,[],0
2,4,5,12,noc,7.6834842588,76.92,75.3,683.4472558,1,FALSE,Negative,[1],0
2,4,5,13,con,5.71817,76.92,75.3,718.084289,2,TRUE,Positive,[2],0
2,4,5,14,noc,4.7002073298,76.92,75.3,700.1699493,2,TRUE,Positive,[2],0
2,4,5,15,con,5.6835684595,76.92,75.3,683.4993621,2,TRUE,Positive,[2],0
2,4,5,16,bas,4.8996880045,76.92,75.3,899.6483586,3,TRUE,Positive,[3],0
2,4,5,17,noc,7.7844313458,76.92,75.3,784.353564,1,FALSE,Negative,[1],0
2,4,5,18,noc,7.917574781,76.92,75.3,917.5158783,2,FALSE,Negative,[2],0
2,4,5,19,bas,4.7517358351,76.92,75.3,751.6206729,3,TRUE,Positive,[3],0
2,4,5,20,bas,4.7675398735,76.92,75.3,767.4658676,2,TRUE,Positive,[2],0
2,4,5,21,con,5.7175798404,76.92,75.3,717.5039467,1,TRUE,Positive,[1],0
2,4,5,22,bas,4.7339596902,76.92,75.3,733.8671829,1,TRUE,Positive,[1],0
2,4,5,23,noc,4.7336674423,76.92,75.3,733.6255307,1,TRUE,Positive,[1],0
2,4,5,24,noc,7.6999713415,76.92,75.3,699.9343387,1,FALSE,Negative,[1],0
2,4,5,25,noc,4.7506453807,76.92,75.3,750.5932746,3,TRUE,Positive,[3],0
2,4,5,26,bas,4.7338985221,76.92,75.3,733.8203627,2,TRUE,Positive,[2],0
2,4,5,27,con,6.2636317194,76.92,75.3,763.6098198,1,TRUE,Positive,[1],0
2,4,5,28,con,6.2001912824,76.92,75.3,700.1576778,2,TRUE,Positive,[2],0
2,4,5,29,con,6.5353040304,76.92,75.3,785.1775407,3,TRUE,Positive,[3],0
2,4,5,30,con,7.7511966492,76.92,75.3,1001.1067847,3,TRUE,Positive,[3],0
3,1,5,1,con,9.5013708095,82.28,77.28,NA,3,FALSE,Negative,[],85
3,1,5,2,bas,4.9664133724,82.28,77.28,966.3284166,2,TRUE,Positive,[2],85
3,1,5,3,con,4.6504173219,82.28,77.28,650.3402953,3,TRUE,Positive,[3],85
3,1,5,4,con,5.4334495655,82.28,77.28,933.4133177,2,TRUE,Positive,[2],85
3,1,5,5,noc,7.7334505094,82.28,77.28,733.3912292,1,FALSE,Negative,[1],85
3,1,5,6,noc,8.0168854437,82.28,77.28,NA,3,FALSE,Negative,[],85
3,1,5,7,con,5.7340452003,82.28,77.28,733.9670409,2,TRUE,Positive,[2],85
3,1,5,8,con,6.2666310481,82.28,77.28,766.5981986,1,TRUE,Positive,[1],85
3,1,5,9,con,6.266853066,82.28,77.28,766.8111545,2,TRUE,Positive,[2],85
3,1,5,10,noc,5.0165614788,82.28,77.28,NA,3,TRUE,Positive,[],85
3,1,5,11,con,6.3496880233,82.28,77.28,849.6570616,3,TRUE,Positive,[3],85
